variant,family,condition,successes,n,rate,status,missing_episodes
recurrent-ttt-context,VideoPlaceOrder,k1,7,50,0.14,complete,
recurrent-ttt-context,VideoPlaceOrder,k3,5,50,0.1,complete,
recurrent-ttt-context,VideoPlaceOrder,k7,3,50,0.06,complete,
recurrent-ttt-context,InsertPeg,no-history,0,50,0.0,complete,
recurrent-ttt-context,InsertPeg,k0,0,50,0.0,complete,
recurrent-ttt-context,InsertPeg,k1,0,50,0.0,complete,
recurrent-ttt-context,InsertPeg,k3,0,50,0.0,complete,
recurrent-ttt-context,InsertPeg,k7,0,50,0.0,complete,
recurrent-ttt-context,PatternLock,no-history,8,50,0.16,complete,
recurrent-ttt-context,PatternLock,k0,8,50,0.16,complete,
recurrent-ttt-context,PatternLock,k1,8,50,0.16,complete,
recurrent-ttt-context,PatternLock,k3,8,50,0.16,complete,
recurrent-ttt-context,PatternLock,k7,8,50,0.16,complete,
